date,open,close,high,low,volume
2017-12-14,29.94,30.11,30.37,29.85,382067.0
2017-12-15,30.12,29.11,30.12,29.1,396229.0
2017-12-18,29.11,28.46,29.26,28.04,421286.0
2017-12-19,28.66,29.16,29.25,28.4,340084.0
2017-12-20,29.09,28.6,29.1,28.52,329026.0
2017-12-21,28.72,29.72,30.19,28.63,595163.0
2017-12-22,29.6,29.85,30.2,29.57,342206.0
2017-12-25,30.3,30.37,31.33,30.27,506382.0
2017-12-26,30.49,30.5,30.8,30.12,278845.0
2017-12-27,30.55,30.79,31.09,30.4,395488.0
2017-12-28,30.4,30.7,30.84,29.87,367316.0
2017-12-29,30.75,31.06,31.71,30.74,385307.0
2018-01-02,31.45,32.56,32.99,31.45,683433.0
2018-01-03,32.5,32.33,33.78,32.23,646870.0
2018-01-04,32.76,33.12,33.53,32.1,529085.0
2018-01-05,32.98,34.76,35.88,32.8,843101.0
2018-01-08,35.11,35.99,36.96,35.11,830783.0
2018-01-09,35.63,35.84,36.11,34.95,478459.0
2018-01-10,35.6,35.67,36.7,35.5,453695.0
2018-01-11,35.55,35.15,35.78,34.54,402483.0
2018-01-12,35.1,35.55,36.62,35.09,537013.0
2018-01-15,35.84,37.09,38.0,35.61,757186.0
2018-01-16,36.5,40.2,40.7,36.4,978464.0
2018-01-17,39.48,39.77,40.6,38.3,812191.0
2018-01-18,39.6,39.76,40.64,38.9,558848.0
2018-01-19,39.85,39.42,41.09,39.25,548758.0
2018-01-22,39.0,39.53,39.84,38.51,406526.0
2018-01-23,40.0,40.98,41.51,39.99,648657.0
2018-01-24,40.7,41.13,42.24,40.46,542629.0
2018-01-25,41.12,40.2,41.12,38.8,648064.0
2018-01-26,40.0,40.04,40.66,39.12,410062.0
2018-01-29,40.38,38.57,40.56,38.09,597862.0
2018-01-30,38.0,36.36,38.0,36.27,908234.0
2018-01-31,36.61,37.56,37.76,35.62,898147.0
2018-02-01,37.5,37.5,38.04,36.9,635425.0
2018-02-02,36.5,37.38,37.9,35.8,596793.0
2018-02-05,36.8,36.99,38.06,36.31,552634.0
2018-02-06,35.93,35.82,36.1,34.88,699836.0
2018-02-07,36.43,32.98,36.58,32.5,952129.0
2018-02-08,33.0,32.75,33.88,32.49,580805.0
2018-02-09,31.5,31.27,31.96,30.2,724944.0
2018-02-12,31.43,31.9,32.32,31.31,407654.0
2018-02-13,32.28,32.73,33.79,32.28,454668.0
2018-02-14,32.87,33.17,33.32,32.17,270175.0
2018-02-22,34.0,33.7,34.05,33.33,302373.0
2018-02-23,33.9,34.72,35.1,33.33,384538.0
2018-02-26,35.07,34.18,35.1,33.11,540655.0
2018-02-27,34.2,32.9,34.28,32.65,506598.0
2018-02-28,32.51,32.7,33.23,31.84,500004.0
2018-03-01,32.17,32.41,33.09,32.02,336064.0
