date,open,close,high,low,volume
2017-12-29,4022.88,4030.85,4043.14,4012.88,90486683.0
2018-01-02,4045.21,4087.4,4087.78,4045.21,146935435.0
2018-01-03,4091.46,4111.39,4140.05,4088.73,151852218.0
2018-01-04,4114.12,4128.81,4137.64,4105.89,134543794.0
2018-01-05,4133.34,4138.75,4151.28,4123.28,149009872.0
2018-01-08,4140.85,4160.16,4166.32,4127.31,173877666.0
2018-01-09,4157.54,4189.3,4191.28,4153.5,139034294.0
2018-01-10,4187.2,4207.81,4211.05,4175.14,151121666.0
2018-01-11,4197.11,4205.59,4211.8,4181.96,121578539.0
2018-01-12,4205.14,4225.0,4227.39,4199.02,111354794.0
2018-01-15,4229.84,4225.24,4262.93,4216.36,170907897.0
2018-01-16,4215.62,4258.47,4260.21,4213.13,161494963.0
2018-01-17,4261.78,4248.12,4283.34,4230.54,214311032.0
2018-01-18,4259.38,4271.42,4292.64,4246.68,172032846.0
2018-01-19,4281.94,4285.4,4316.57,4269.62,209490570.0
2018-01-22,4276.48,4336.6,4338.48,4275.9,174643195.0
2018-01-23,4346.89,4382.61,4383.57,4346.79,201867585.0
2018-01-24,4389.45,4389.89,4397.82,4349.09,219818889.0
2018-01-25,4381.98,4365.08,4392.2,4336.24,195374950.0
2018-01-26,4352.22,4381.3,4403.34,4351.49,177227237.0
2018-01-29,4387.06,4302.02,4395.91,4287.11,191100354.0
2018-01-30,4286.68,4256.1,4308.51,4251.57,139034730.0
2018-01-31,4234.11,4275.9,4287.86,4232.77,145210164.0
2018-02-01,4276.34,4245.9,4287.39,4214.29,190002934.0
2018-02-02,4213.94,4271.23,4271.76,4181.78,146066827.0
2018-02-05,4204.46,4274.15,4274.15,4200.14,161347799.0
2018-02-06,4182.33,4148.89,4211.52,4131.56,214910450.0
2018-02-07,4205.74,4050.5,4212.57,4048.42,203127493.0
2018-02-08,4022.88,4012.05,4071.67,3974.68,159269985.0
2018-02-09,3896.17,3840.65,3911.29,3759.15,206349828.0
2018-02-12,3846.27,3890.1,3907.84,3828.07,116182637.0
2018-02-13,3925.6,3935.63,3986.98,3925.6,112565885.0
2018-02-14,3945.09,3966.96,3971.4,3923.13,71081338.0
2018-02-22,4020.97,4052.73,4058.79,4009.92,105811571.0
2018-02-23,4061.75,4071.09,4085.2,4035.23,99458746.0
2018-02-26,4093.4,4118.42,4128.74,4048.98,137881001.0
2018-02-27,4120.87,4058.98,4120.87,4051.81,125934470.0
2018-02-28,4016.79,4023.64,4051.71,3991.71,109343593.0
2018-03-01,3994.87,4049.09,4061.03,3986.89,110199852.0
